date, open, high, low, close, vol
20160519 180400,1.120030,1.120070,1.119980,1.120070,0
20160519 180500,1.120060,1.120110,1.120030,1.120090,0
20160519 180600,1.120080,1.120130,1.120080,1.120090,0
20160519 180700,1.120090,1.120090,1.120040,1.120040,0
20160519 180800,1.120040,1.120050,1.120020,1.120050,0
20160519 180900,1.120050,1.120080,1.120030,1.120030,0
20160519 181000,1.120030,1.120080,1.120030,1.120030,0
20160519 181100,1.120020,1.120020,1.120000,1.120000,0
20160519 181200,1.119990,1.120010,1.119860,1.119860,0
20160519 181300,1.119870,1.119940,1.119870,1.119940,0
20160519 181400,1.119960,1.120040,1.119960,1.120040,0
20160519 181500,1.120030,1.120050,1.120020,1.120020,0
20160519 181600,1.120020,1.120030,1.120020,1.120020,0
20160519 181700,1.120030,1.120120,1.120020,1.120100,0
20160519 181800,1.120100,1.120100,1.120100,1.120100,0
20160519 181900,1.120090,1.120090,1.120080,1.120080,0
20160519 182000,1.120080,1.120350,1.120070,1.120290,0
20160519 182100,1.120300,1.120390,1.120140,1.120200,0
20160519 182200,1.120200,1.120250,1.120170,1.120200,0
20160519 182300,1.120200,1.120210,1.120170,1.120170,0
20160519 182400,1.120170,1.120180,1.120170,1.120180,0
20160519 182500,1.120170,1.120220,1.120130,1.120210,0
20160519 182600,1.120200,1.120280,1.120200,1.120240,0
20160519 182700,1.120240,1.120240,1.120210,1.120220,0
20160519 182800,1.120200,1.120240,1.120160,1.120240,0
20160519 182900,1.120240,1.120240,1.120190,1.120240,0
20160519 183000,1.120240,1.120240,1.120190,1.120240,0
20160519 183100,1.120240,1.120240,1.120180,1.120240,0
20160519 183200,1.120160,1.120170,1.120060,1.120060,0
20160519 183300,1.120060,1.120130,1.120040,1.120070,0
20160519 183400,1.120060,1.120110,1.120040,1.120080,0
20160519 183500,1.120070,1.120070,1.119970,1.119990,0
20160519 183600,1.119980,1.120040,1.119920,1.120030,0
20160519 183700,1.120040,1.120100,1.120030,1.120100,0
