Symbol,Date,Open,High,Low,Close,Volume
ORCL,29-Feb-2016,37,37.33,36.63,36.78,22300100
ORCL,01-Mar-2016,37.15,37.99,37.04,37.99,13030700
ORCL,02-Mar-2016,37.76,37.89,37.43,37.76,12791100
ORCL,03-Mar-2016,37.61,37.91,37.39,37.89,8832100
ORCL,04-Mar-2016,38,38.16,37.77,37.89,10638300
ORCL,07-Mar-2016,37.54,38.45,37.52,38.36,13011000
ORCL,08-Mar-2016,38.11,38.45,37.94,38.15,12384400
ORCL,09-Mar-2016,38.43,38.61,38.12,38.48,16786400
ORCL,10-Mar-2016,38.77,38.77,37.5,38.05,17621200
ORCL,11-Mar-2016,38.45,38.97,38.28,38.95,13143300
ORCL,14-Mar-2016,38.91,38.94,38.55,38.7,14704400
ORCL,15-Mar-2016,38.35,38.87,38.13,38.74,17502800
ORCL,16-Mar-2016,39.55,40.94,39.53,40.22,49082200
ORCL,17-Mar-2016,40.15,40.96,40.07,40.61,22163500
ORCL,18-Mar-2016,40.87,41.49,40.65,41.48,34354000
ORCL,21-Mar-2016,41.42,42,41.37,41.61,17275000
ORCL,22-Mar-2016,41.32,41.75,41.19,41.38,11970500
ORCL,23-Mar-2016,41.3,41.35,40.57,40.75,13666700
ORCL,24-Mar-2016,40.6,41.07,40.34,40.97,11956200
ORCL,25-Mar-2016,40.97,40.97,40.97,40.97,0
ORCL,28-Mar-2016,41.11,41.11,40.55,40.62,14646900
ORCL,29-Mar-2016,40.41,40.8,40.37,40.7,15159200
ORCL,30-Mar-2016,40.96,41.11,40.85,40.97,9803600
ORCL,31-Mar-2016,41.13,41.24,40.8,40.91,10196400
ORCL,01-Apr-2016,40.68,41.22,40.62,41.16,10876400
ORCL,04-Apr-2016,41.15,41.28,40.9,41.07,11249100
ORCL,05-Apr-2016,40.85,41.06,40.46,40.53,9724400
ORCL,06-Apr-2016,40.4,40.79,40.19,40.75,13906400
ORCL,07-Apr-2016,40.59,40.59,39.81,39.97,13539400
ORCL,08-Apr-2016,40.13,40.54,40.13,40.36,8441700
ORCL,11-Apr-2016,40.59,41.08,40.38,40.39,11169500
ORCL,12-Apr-2016,40.31,40.52,39.99,40.42,9851000
ORCL,13-Apr-2016,40.82,41.39,40.63,41.31,13590400
ORCL,14-Apr-2016,41.31,41.46,41.18,41.24,9606400
ORCL,15-Apr-2016,41.12,41.38,41.02,41.02,11714900
ORCL,18-Apr-2016,40.84,41.25,40.8,41.24,9305800
ORCL,19-Apr-2016,41.41,41.49,40.97,41.06,10602600
ORCL,20-Apr-2016,41.19,41.39,41.08,41.1,9035200
ORCL,21-Apr-2016,41.03,41.3,40.88,40.99,12643600
ORCL,22-Apr-2016,40.79,41.43,40.67,40.7,16562200
ORCL,25-Apr-2016,40.59,40.83,40.47,40.78,10876200
ORCL,26-Apr-2016,40.82,40.85,40.43,40.65,8365800
ORCL,27-Apr-2016,40.51,41,40.51,40.85,8742100
ORCL,28-Apr-2016,40.36,40.97,40.17,40.33,9233800
ORCL,29-Apr-2016,40.17,40.17,39.37,39.86,12883300
ORCL,02-May-2016,39.9,40.43,39.83,40.3,10454200
ORCL,03-May-2016,40.03,40.11,39.53,39.68,11439500
ORCL,04-May-2016,39.39,39.57,39.13,39.29,9046100
ORCL,05-May-2016,39.44,39.46,39.13,39.23,8962600
ORCL,06-May-2016,38.97,39.43,38.97,39.41,7587400
ORCL,09-May-2016,39.34,39.73,39.22,39.36,7949300
ORCL,10-May-2016,39.58,40.06,39.58,40.02,9290100
ORCL,11-May-2016,39.86,40.08,39.64,39.65,7180100
ORCL,12-May-2016,39.89,40.03,39.59,39.82,10006700
ORCL,13-May-2016,39.78,40.08,39.51,39.61,9392600
ORCL,16-May-2016,39.77,40.1,39.46,39.97,7797000
ORCL,17-May-2016,39.8,40.02,39.47,39.6,9483700
ORCL,18-May-2016,39.59,39.8,39.16,39.47,10379600
ORCL,19-May-2016,39.16,39.24,38.56,38.84,15124300
ORCL,20-May-2016,39.08,39.58,38.95,39.41,16153200
ORCL,23-May-2016,39.31,39.44,39.14,39.18,8904700
ORCL,24-May-2016,39.42,40.07,39.25,39.9,11329700
ORCL,25-May-2016,40.05,40.29,40.05,40.13,7972100
ORCL,26-May-2016,40.11,40.2,39.93,39.95,7573900
ORCL,27-May-2016,39.83,40.08,39.8,40.07,8240600
ORCL,30-May-2016,40.07,40.07,40.07,40.07,0
ORCL,31-May-2016,40.08,40.22,39.95,40.2,12567400
